,nombre,categoría,descripción,sección,url
20,TYV22,Televisores y vídeos,Televisión caja madera antigua Philips (B/N),Televisor  ,admin/img_prod/TYV22/TYV22-1-720x540.png
21,ILU22,Iluminación,Farol de pared dorado grabado con globo,Calle  ,admin/img_prod/ILU22/ILU022__MOU028__Hay_4_-removebg-preview.png
22,PV22,Pie de vela,Candelabros alto de altar metal grabado 5 luces en línea,Candelabro  Iglesia  ,admin/img_prod/PV22/PV22-720x540.png
23,SEC22,Secreter,Bureau americano caoba 5 cajones,Americano  Dormitorio  Salón  ,admin/img_prod/SEC22/SEC22-1-720x540.png
24,BRA22,Brasero,Pie de pletina de hierro aros,Medieval  ,admin/img_prod/BRA22/BRA22-720x540.png
25,JAU22,Jaula,Pie de jaula de loro de metal peana redonda,Pie de jaula  ,admin/img_prod/JAU22/JAU22-720x540.png
26,VI22,Vitrina,Vitrina de pared negra forma,,admin/img_prod/VI22/VI22-720x540.png
27,PER22,Perchero,Perchero de pie tubo crema 6 boliches niquelados,Despacho  ,admin/img_prod/PER22/PER22-1-720x540.png
28,CHI22,Chimenea,Juego de avíos de chimenea metal grabado,,admin/img_prod/CHI22/CHI22-720x540.png
29,QIN22,Quinqués,Quinqué columna madera depósito cristal rosa,,admin/img_prod/QIN22/QIN22-720x540.png
30,MOU22,Mobiliario urbano,Señal de tráfico inglesa de peligro hielo,Calle  ,admin/img_prod/MOU22/MOU22-720x540.png
31,CDM22,Centro de mesa,Centro de mesa de loza dibujos azules con tapa,,admin/img_prod/CDM22/CDM22-720x540.png
32,FIG22,Figuras,Figura de escayola pintada torso hombre,Adorno  ,admin/img_prod/FIG22/FIG22-720x540.png
33,PLA22,Playa,Sombrilla tela rayas,Sombrillas  ,admin/img_prod/PLA22/PLA22-720x540.png
34,REG22,Religión,Cruz de suelo de madera fina,Cruces  ,admin/img_prod/REG22/REG22-720x540.png
35,RU22,Rural,Palas de minero,Oficios  ,admin/img_prod/RU22/RU22-720x540.png
36,GN22,Galan de noche,Galán de noche tubo niquelado,Dormitorio  ,admin/img_prod/GN22/GN22-1-720x540.png
37,ALF23,Alfombra,Alfombra francesa,Frances  ,admin/img_prod/ALF23/ALF23-2-720x540.png
38,AFC23,Alfombra de cama,Alfombrín de cama lana colores,Dormitorio  ,admin/img_prod/AFC23/AFC23-720x540.png
39,AP23,Aparador,Aparador 1900 de roble con espejo y tapa mármol,Comedor  Estilo mil novecientos  ,admin/img_prod/AP23/AP23-720x540.png
40,ARC23,Arcon,Arcón figurado aplicaciones rosetas cartón,Dormitorio  ,admin/img_prod/ARC23/ARC023 (HAY 1).jpg
41,AR23,Armario,Armario valenciano con copete y 2 puertas espejo,Dormitorio  Valenciano  ,admin/img_prod/AR23/AR23-1-720x540.png
42,ATR23,Atril,Atril de altar metal grabado,Iglesia  Religioso  ,admin/img_prod/ATR23/ATR23-720x540.png
43,BAC23,Banco,Banco jardín patas hierro tablas blanco,Jardín  ,admin/img_prod/BAC23/BAC23-1-720x540.png
44,BAN23,Banqueta,Banqueta góndola Luis XVI crema y oro,Frances  Góndola  ,admin/img_prod/BAN23/BAN23-1-720x540.png
45,BA23,Baño,Lavabo 2 llaves y caño,Lavabo  ,admin/img_prod/BA23/BA23-1-720x540.png
46,BAU23,Baul,,Descatalogado  ,admin/img_prod/BAU23/LOGOTIPO VAZQUEZ- 720x540.png
47,BIO23,Biombo,Biombo 4 hojas marco madera tela rayas,Dormitorio  ,admin/img_prod/BIO23/BIO23-720x540.png
0,CA23,Cama,Cabecero forma tapizado flores,Dormitorio  ,admin/img_prod/CA23/CA23-720x540.png
1,CO23,Cocinas,Pila lavadero de cocina de piedra,Varios cocina  ,admin/img_prod/CO23/CO23-720x540.png
2,COM23,Comoda,Comodín inglés caoba 3 cajones a juego dormitorio inglés,Comodín  Dormitorio  Inglesa  ,admin/img_prod/COM23/COM23-1-720x540.png
3,CON23,Consola,Consola Isabelina negra con tapa figurada con cajón,Isabelino  Recibidor  ,admin/img_prod/CON23/CON23-1-720x540.png
4,CU23,Cuadro,Cuadro retablo bizantino pintado,Religioso  ,admin/img_prod/CU23/CU23-720x540.png
5,ANU23,Carteles y anuncios,Cartel  antiguo chapa Champión,Bar y cafetería  ,admin/img_prod/ANU23/ANU23-720x540.png
6,ESP23,Espejo,Espejo marco nogal,Dormitorio  ,admin/img_prod/ESP23/ESP23-720x540.png
7,ES23,Estanteria,Estante suelo nogal cerrado recto,Rústico  ,admin/img_prod/ES23/ES23-720x540.png
8,EST23,Estufa,Placa de calor de pared,Calefaccion  ,admin/img_prod/EST23/EST23-720x540.png
9,ESTAT23,Estatua,Estatua imagen fraile con niño de escayola,Religioso  ,admin/img_prod/ESTAT23/ESTAT23-720x540.png
10,F23,Fichero,Fichero metálico crema 4 cajones,Despacho  ,admin/img_prod/F23/F23-1-720x540.png
11,MUS23,Instrumentos musicales,Zanfoña auténtica,Musica  ,admin/img_prod/MUS23/MUS23 (INM10)=-720x540.png
12,ADO23,Adornos,Figura bronce pequeña golfista,Salón  ,admin/img_prod/ADO23/ADO23-720x540.png
13,DPT23,Deporte,Bicicleta estática blanca y azul Ciclostatic,Bicicleta  Gimnasio  ,admin/img_prod/DPT23/DPT23-720x540.png
14,LAM23,Lámpara,Lámpara de mesa hierro verde y metal,Lámpara de mesa  Salón  ,admin/img_prod/LAM23/LAM23-720X540.png
15,FUM23,Artículos de fumador,Juego cenicero y mechero metacrilato,Cenicero  ,admin/img_prod/FUM23/FUM23-720X540.png
16,M23,Mesa,Mesa centro nogal pata torneada,Centro  Salón  ,admin/img_prod/M23/M23-1-720x540.png
17,AZP23,Azulejos y platos de pared,Azulejos de pared antiguos gruesos,Decoración  ,admin/img_prod/AZP23/AZP23-720x540.png
18,BAD23,Bandejas,Bandejas medievales metal,Bar y cafetería  ,admin/img_prod/BAD23/BAD23-720x540.png
19,BYC23,Atrezzo de bar y cafetería,Copas de licor antiguas cristal grueso,Bar y cafetería  ,admin/img_prod/BYC23/BYC23(BAR23-720x540).png
20,COL23,Atrezzo colegio,Cuadernos colegio antiguos,Colegio  ,admin/img_prod/COL23/COL23-720x540.png
21,DES23,Atrezzo despacho,Máquina de escribir eléctrica xerox,Despacho  Máquinas de escribir  ,admin/img_prod/DES23/DES23-720x540.png
22,BEB23,Bebé,Silla de niño plegable azul PRENATAL,Cochecito  ,admin/img_prod/BEB23/BEB23-1-720x540.png
23,CST23,Moda y costura,Costurero isabelino negro con tapa,,admin/img_prod/CST23/CST23-1-720x540.png
24,CAR23,Caja registradora,Calculadora plástico verde HISPANO OLIVETTI,Calculadoras  Despacho  ,admin/img_prod/CAR23/CAR23 (DES100)-720x540.png
25,CRI23,Cristalería,Jarras cristal antiguas con asa y peana,Jarras  ,admin/img_prod/CRI23/CRI23-720x540.png
26,MC23,Macetero,Macetero imperio 3 columnas adornos metal,Comedor  Imperio  Salón  ,admin/img_prod/MC23/MC23-1-720x540.png
27,ME23,Mesilla,Mesilla ovalada pintada negra,Dormitorio  ,admin/img_prod/ME23/ME23-1-720x540.png
28,VET23,Ventilador,Ventilador de techo blanco 4 aspas,,admin/img_prod/VET23/VET23-720x540.png
29,REL23,Reloj,Reloj de pared grande esfera redonda marco niquelado,Despacho  ,admin/img_prod/REL23/REL23-720x540.png
30,TEL23,Telefonía,Contestador antiguo grande antiguo,,admin/img_prod/TEL23/TLF23-720x540.png
31,MYN23,Maletas y neceseres de viaje,Maleta antigua fibra jaspeada cantoneras madera,Viaje  ,admin/img_prod/MYN23/MYN23-720x540.png
32,MYC23,Maletines y carteras,Portadocumentos skay marron de fuelle,,admin/img_prod/MYC23/MYC23-720x540.png
33,TOC23,Objetos de tocador,Juego de tocador plateado liso (6 piezas),Tocador  ,admin/img_prod/TOC23/TOC23-720x540.png
34,JUG23,Juguetes,Puzzles con sus cajas,Juguete  ,admin/img_prod/JUG23/JUG23-720x540.png
35,JAR23,Jarrones y jarras,Jarron niquelado alto cenefa grabada flores,Adorno  Decoración  Salón  ,admin/img_prod/JAR23/JAR23-720x540.png
36,MYS23,Tocadiscos y altavoces,Plato de tocadiscos portátil,Electrónica  Musica  Sonido  ,admin/img_prod/MYS23/MYS23-720x540.png
37,TP23,Tapices y estandartes,Tapiz bordado terciopelo ciervos con marco blanco y oro,Salón  ,admin/img_prod/TP23/TP23-720x540.png
38,ML23,Librería,Librería de despacho 1900 puertas cristal,Despacho  ,admin/img_prod/ML23/ML23-720x540.png
39,MED23,Atrezzo medicina,Escalerilla de madera antigua para tubos de ensayo,Hospital  Medicina  ,admin/img_prod/MED23/MED23-720x540.png
40,HOS23,Hospitales,Mesilla hospital hierro tapa formica,Hospital  Medicina  ,admin/img_prod/HOS23/HOS23-1-720x540.png
41,VAA23,Atrezzo vario,Descatalogado,Descatalogado  ,admin/img_prod/VAA23/LOGOTIPO VAZQUEZ- 720x540.png
42,ARA23,Atrezzo Árabe,Mesa árabe cuadrada pintada,Arabe  ,admin/img_prod/ARA23/ARA23-1-720x540.png
43,RAD23,Radios,Radio antigua caja blanca y dorado 4 mandos,,admin/img_prod/RAD23/RAD23-720x540.png
44,SI23,Sillón,Sillón estilo Reina Ana nogal filo oro tapizado cuero,Reina ana  Sillería  ,admin/img_prod/SI23/SI23-1-720x540.png
45,MV23,Muebles varios,Descatalogado,Descatalogado  ,admin/img_prod/MV23/LOGOTIPO VAZQUEZ- 720x540.png
46,JUE23,Juego,Tablero de parchís de madera,,admin/img_prod/JUE23/JUE23-720x540.png
47,SIL23,Silla,Silla Reina Ana de nogal filo oro tapizada cuero,Reina ana  Sillería  ,admin/img_prod/SIL23/SIL23-1-720x540.png
0,MEC23,Mecedora,Mecedora curvada nogal tapizada tela,Curvado  ,admin/img_prod/MEC23/MEC23-1-720x540.png
1,MOS23,Mostrador,Mostrador vitrina de roble con 12 cajones,Tienda  ,admin/img_prod/MOS23/MOS30-1-720x540.png
2,S23,Sofá,Sofá reina Ana nogal filo oro tapizado cuero,Reina ana  Salón  Sillería  ,admin/img_prod/S23/S23-1-720x540.png
3,TYV23,Televisores y vídeos,"Televisión caja gris Philips 18""",Televisor  ,admin/img_prod/TYV23/TYV23-1-720X540.png
4,PV23,Pie de vela,Candelero de iglesia peana piedra,Candelero  Iglesia  ,admin/img_prod/PV23/PV23-720x540.png
5,BRA23,Brasero,Pie de tubo redondo aro giratorio,Medieval  ,admin/img_prod/BRA23/BRA23-720x540.png
6,JAU23,Jaula,Pie de jaula niquelada peana redonda,Pie de jaula  ,admin/img_prod/JAU23/JAU23-720x540.png
7,VI23,Vitrina,Vitrina con parte baja cerrada,Colegio  ,admin/img_prod/VI23/VI23-1-removebg-preview.png
8,PER23,Perchero,Perchero burro estilo español cabezas talladas,Dormitorio  Español  ,admin/img_prod/PER23/PER23-1-720x540.png
9,SEC23,Secreter,Bureau - secreter claro,Salón  ,admin/img_prod/SEC23/SEC23-1-720x540.png
10,QIN23,Quinqués,Quinqué pie calamina con depósito niquelado,,admin/img_prod/QIN23/QIN23-720x540.png
11,MOU23,Mobiliario urbano,Señal de tráfico inglesa de permanecer izquierda,Calle  ,admin/img_prod/MOU23/MOU23-720x540.png
12,CDM23,Centro de mesa,Centro de mesa de loza forma frutero,,admin/img_prod/CDM23/CDM23-720x540.png
13,FIG23,Figuras,Figura de escayola pintada torso mujer,Adorno  ,admin/img_prod/FIG23/FIG23-720x540.png
14,PLA23,Playa,Sombrilla tela rayas,Sombrillas  ,admin/img_prod/PLA23/PLA23-720x540.png
15,REG23,Religión,Cruz de madera de suelo ancha con cuerdas,Cruces  ,admin/img_prod/REG23/REG23-720x540.png
16,RU23,Rural,Yugo de arado de madera,Rústico  Oficios  ,admin/img_prod/RU23/RU23-720x540.png
17,ALF24,Alfombra,Alfombra dibujos marrón,Comedor  Salón  ,admin/img_prod/ALF24/ALF24-720x540.png
18,AFC24,Alfombra de cama,Alfombrin de cama arpillera verde y crema,Dormitorio  ,admin/img_prod/AFC24/AFC24-720x540.png
19,AP24,Aparador,Aparador isabelino negro cajones talla y copete,Comedor  Isabelino  ,admin/img_prod/AP24/AP24-1-720x540.png
20,ARC24,Arcon,Arcón figurado talla cartón,Dormitorio  ,admin/img_prod/ARC24/ARC24-1-720x540.png
21,AR24,Armario,Armario 1 puerta espejo,Dormitorio  ,admin/img_prod/AR24/AR24-1-720x540.png
22,ATR24,Atril,Atril aluminio forma rollo película,,admin/img_prod/ATR24/ATR24-1-720x540.png
23,BAC24,Banco,Banco jardín patas hierro tablas marrón,Jardín  ,admin/img_prod/BAC24/BAC24-1-720x540.png
24,BAN24,Banqueta,Banqueta góndola curvada,Curvado  Góndola  ,admin/img_prod/BAN24/BAN24-1-720x540.png
25,BA24,Baño,Lavabo ovalado sin grifo y con pie,Lavabo  ,admin/img_prod/BA24/BA24-720x540.png
26,BAU24,Baul,Baúl tapa recta negro,Almacenaje  Viaje  ,admin/img_prod/BAU24/BAU24-1-720x540.png
27,BIO24,Biombo,Biombo 3 hojas bastidor negro con papel,Jardín  ,admin/img_prod/BIO24/BIO24-720x540.png
28,CA24,Cama,Cabecero valenciano claro,Dormitorio  Valenciano  ,admin/img_prod/CA24/CA24-720x540.png
29,CO24,Cocinas,Pila lavadero de piedra de cocina,Varios cocina  ,admin/img_prod/CO24/CO24-720x540.png
30,COM24,Comoda,Cómoda rústica pino con trampilla,Dormitorio  Rústico  ,admin/img_prod/COM24/COM24-1-720x540.png
31,CON24,Consola,Consola Isabelina nogal con tapa marmol blanco,Isabelino  Recibidor  ,admin/img_prod/CON24/CON24-1-720x540.png
32,CU24,Cuadro,Cuadro sin marco tablero pintado apóstoles,Religioso  ,admin/img_prod/CU24/CU24-720x540.png
33,ANU24,Carteles y anuncios,Cartel  antiguo chapa El Gaitero,Bar y cafetería  ,admin/img_prod/ANU24/ANU24-720x540.png
34,ESP24,Espejo,Espejo inglés de pared marco caoba,Dormitorio  Inglesa  ,admin/img_prod/ESP24/ESP24-720x540.png
35,ES24,Estanteria,Estante de suelo rústico tabla,Rústico  ,admin/img_prod/ES24/ES24-720x540.png
36,EST24,Estufa,Radiador de hierro (2 de 4 elementos y 1 de 5 elementos),Calefaccion  ,admin/img_prod/EST24/EST24-1-720x540.png
37,ESTAT24,Estatua,Estatua imagen Santo con niño de escayola,Religioso  ,admin/img_prod/ESTAT24/ESTAT24-720x540.png
38,F24,Fichero,Fichero metálico gris estrecho 4 cajones,Despacho  ,admin/img_prod/F24/F24-1-720x540.png
39,MUS24,Instrumentos musicales,Instrumento de cuerda africano,Musica  ,admin/img_prod/MUS24/MUS24 (INM11)-720x540.png
40,ADO24,Adornos,Figura bronce grande caballo,Salón  ,admin/img_prod/ADO24/ADO24-720x540.png
41,DPT24,Deporte,Bicicleta estática gris BH,Bicicleta  Gimnasio  ,admin/img_prod/DPT24/DPT24-720x540.png
42,LAM24,Lámpara,Lámpara de mesa loza blanca,Lámpara de mesa  Salón  ,admin/img_prod/LAM24/LAM24-720X540.png
43,FUM24,Artículos de fumador,Cenicero acero diferentes,Cenicero  ,admin/img_prod/FUM24/FUM24-720X540.png
44,M24,Mesa,Mesa estilo español lisa,Auxiliar  Español  ,admin/img_prod/M24/M24-1-720x540.png
45,BAD24,Bandejas,Bandejas modernas camarero,Bar y cafetería  ,admin/img_prod/BAD24/BAD24-720x540.png
46,BYC24,Atrezzo de bar y cafetería,Copa de licor de cristal tallado antiguo,Bar y cafetería  ,admin/img_prod/BYC24/BYC24(BAR24-720x540).png
47,COL24,Atrezzo colegio,Cuadernos colegio antiguos rubio,Colegio  ,admin/img_prod/COL24/COL24-720x540.png
0,DES24,Atrezzo despacho,Máquina de escribir antigua Adler,Despacho  Máquinas de escribir  ,admin/img_prod/DES24/DES24-720x540.png
1,BEB24,Bebé,Silla de niño gemelar plegable CHICCO,Cochecito  ,admin/img_prod/BEB24/BEB24-1-720x540.png
2,CST24,Moda y costura,Costurero nogal tapa forma y marquetería,,admin/img_prod/CST24/CST24-720x540.png
3,CAR24,Caja registradora,Calculadora plástico amarillo WALTHER,Calculadoras  Despacho  ,admin/img_prod/CAR24/CAR24 (DES101)-720x540.png
4,CRI24,Cristalería,Jarras cristal.,Jarras  ,admin/img_prod/CRI24/CRI24-720x540.png
5,MC24,Macetero,Macetero negro columna torneada 3 pies,Comedor  Salón  ,admin/img_prod/MC24/MC24-1-720x540.png
6,ME24,Mesilla,Mesilla ovalada pintada colores,Dormitorio  ,admin/img_prod/ME24/ME24-1-720x540.png
7,VET24,Ventilador,Ventilador de techo antiguo crema,,admin/img_prod/VET24/VET24-720x540.png
8,REL24,Reloj,descatalogado,Descatalogado  ,admin/img_prod/REL24/LOGOTIPO VAZQUEZ- 720x540.png
9,TEL24,Telefonía,Contestadores automáticos,,admin/img_prod/TEL24/TLF24-720x540.png
10,MYN24,Maletas y neceseres de viaje,Maleta fibra jaspeada clara borde corinto,Viaje  ,admin/img_prod/MYN24/MYN24-720x540.png
11,TOC24,Objetos de tocador,DESCATALOGADO,Tocador  ,admin/img_prod/TOC24/TOC24-720x540.png
12,JUG24,Juguetes,Juguete tienda india Madelman con su caja,Juguete  ,admin/img_prod/JUG24/JUG24-720x540.png
13,JAR24,Jarrones y jarras,Jarrón grabados griegos,Adorno  Decoración  Salón  ,admin/img_prod/JAR24/JAR24-720x540.png
14,MYS24,Tocadiscos y altavoces,Tocadiscos caja sapeli Dual tapa plástico,Electrónica  Musica  Sonido  ,admin/img_prod/MYS24/MYS24-720x540.png
15,TP24,Tapices y estandartes,Friso árabe de cuero arcos,Arabe  Castillo  ,admin/img_prod/TP24/TP24-720x540.png
16,ML24,Librería,Mueble librería oscuro con parte alta,Comedor  Salón  ,admin/img_prod/ML24/ML24-720x540.png
17,MED24,Atrezzo medicina,Escalerilla de madera torneada antigua doble para tubos de ensayo,Hospital  Medicina  ,admin/img_prod/MED24/MED24-720x540.png
18,HOS24,Hospitales,Mesilla hospital hierro y formica gris,Hospital  Medicina  ,admin/img_prod/HOS24/HOS24-720x540.png
19,VAA24,Atrezzo vario,Recogedor de migas plateado (2 piezas),Comedor  ,admin/img_prod/VAA24/VAA24-720x540.png
20,RAD24,Radios,Radio antigua caja madera 4 mandos  dial crema,,admin/img_prod/RAD24/RAD24-720x540.png
21,SI24,Sillón,Sillón chipendale nogal tallado tapizado crema,Chippendale  Sillería  ,admin/img_prod/SI24/SI24-1-720x540.png
22,MV24,Muebles varios,Chifonier claro 6 cajones,Chifonier  ,admin/img_prod/MV24/MV24-1-720x540.png
23,JUE24,Juego,Tablero de ajedrez plegable con sus fichas,,admin/img_prod/JUE24/JUE24-720x540.png
24,SIL24,Silla,Silla chippendale nogal tallada tapizada crema,Chippendale  Sillería  ,admin/img_prod/SIL24/SIL24-1-720x540.png
25,MOS24,Mostrador,Descatalogado,Descatalogado  ,admin/img_prod/MOS24/LOGOTIPO VAZQUEZ- 720x540.png
26,S24,Sofá,Sofá chippendale nogal respaldo alto madera calado,Chippendale  Salón  Sillería  ,admin/img_prod/S24/S24-1-720x540.png
27,TYV24,Televisores y vídeos,"Televisión caja madera y gris Elbe 21""",Televisor  ,admin/img_prod/TYV24/TYV24-1-720x540.png
28,PV24,Pie de vela,Pie de vela de iglesia para ofrenda de lamparillas (lampadario),Iglesia  ,admin/img_prod/PV24/PV24-1-720x540.png
29,BRA24,Brasero,Pebetero varilla hierro plato con cadena,Medieval  Pebetero  ,admin/img_prod/BRA24/BRA24 (HAY 2) 720x540.png
30,JAU24,Jaula,Pie de jaula niquelado curvo,Pie de jaula  ,admin/img_prod/JAU24/JAU24-720x540.png
31,VI24,Vitrina,Vitrina italiana formica crema,Italiano  ,admin/img_prod/VI24/VI24-1-720x540.png
32,PER24,Perchero,Perchero burro curvado tonet nogal,Dormitorio  Thonet  ,admin/img_prod/PER24/PER24-1-720x540.png
33,QIN24,Quinqués,Quinqué cristal tallado morado peana metal grabado,,admin/img_prod/QIN24/QIN24-720x540.png
34,MYC24,Maletines y carteras,Maletín de médico antiguo cuero marrón,,admin/img_prod/MYC24/MYC24-1-720x540.png
35,MOU24,Mobiliario urbano,Señal de tráfico inglesa de trabajos en la vía,Calle  ,admin/img_prod/MOU24/MOU24-720x540.png
36,CDM24,Centro de mesa,Centro de mesa de loza picos,,admin/img_prod/CDM24/CDM24-720x540.png
37,FIG24,Figuras,Figura de cartón grande elefante hindú,Adorno  ,admin/img_prod/FIG24/FIG24-720x540.png
38,PLA24,Playa,,Descatalogado  ,admin/img_prod/PLA24/LOGOTIPO VAZQUEZ- 720x540.png
39,REG24,Religión,Cruz de madera con Cristo tallado,Cruces  ,admin/img_prod/REG24/REG24-720x540.png
40,RU24,Rural,Azadones de minero,Oficios  ,admin/img_prod/RU24/RU24-720x540.png
41,ALF25,Alfombra,Alfombra persa marrón,Arabe  Comedor  Salón  ,admin/img_prod/ALF25/ALF25-720x540.png
42,AFC25,Alfombra de cama,Alfombrin de cama persa rojo,Arabe  Dormitorio  ,admin/img_prod/AFC25/AFC25-720x540.png
43,AP25,Aparador,Vitrina isabelina negra a juego AP24,Comedor  Isabelino  ,admin/img_prod/AP25/AP25-1-720x540.png
44,ARC25,Arcon,Arcón talla lisa antiguo,Rústico  ,admin/img_prod/ARC25/ARC25-1-720x540.png
45,AR25,Armario,Armario 1900 claro tallado con copete 1 puerta,Dormitorio  ,admin/img_prod/AR25/AR25-1-720x540.png
46,ATR25,Atril,Atril de metacrilato,,admin/img_prod/ATR25/ATR25-1-720x540.png
47,BAC25,Banco,,Descatalogado  ,admin/img_prod/BAC25/LOGOTIPO VAZQUEZ- 720x540.png
0,BAN25,Banqueta,Banqueta góndola clara,Góndola  ,admin/img_prod/BAN25/BAN25-1-720x540.png
1,BA25,Baño,Lavamanos de pared,Lavabo  ,admin/img_prod/BA25/BA25-1-720x540.png
2,BAU25,Baul,Baúl chapa tapa recta,Almacenaje  Viaje  ,admin/img_prod/BAU25/BAU25-1-720x540.png
3,BIO25,Biombo,Biombo puerta árabe celosía,Arabe  ,admin/img_prod/BIO25/BIO25-720x540.png
4,CA25,Cama,Cabecero con listones madera y hierro,Dormitorio  ,admin/img_prod/CA25/CA25-720x540.png
5,CO25,Cocinas,Fregadero de cocina de cinc dos senos,Varios cocina  ,admin/img_prod/CO25/CO25-720x540.png
6,COM25,Comoda,Comodín caoba inglés 4 cajones,Comodín  Dormitorio  Inglesa  ,admin/img_prod/COM25/COM25-1-720x540.png
7,CON25,Consola,Consola inglesa caoba lisa con cajón entrepaño bajo,Inglesa  Recibidor  ,admin/img_prod/CON25/CON25-1-720x540.png
8,CU25,Cuadro,Cuadro tríptico marco dorado tallado óleo descenso de la cruz,Religioso  ,admin/img_prod/CU25/CU25-720x540.png
9,ANU25,Carteles y anuncios,Cartel  antiguo chapa Martini,Bar y cafetería  ,admin/img_prod/ANU25/ANU25-720x540.png
10,ESP25,Espejo,Espejo de tocador de pared marco roble,Dormitorio  ,admin/img_prod/ESP25/ESP25-720x540.png
11,ES25,Estanteria,Estante casillero rústico,Despacho  Rústico  ,admin/img_prod/ES25/ES25-1-720x540.png
12,EST25,Estufa,Radiador de hierro grabado varios elementos,Calefaccion  ,admin/img_prod/EST25/EST25-720x540.png
13,F25,Fichero,Fichero metálico gris 4 cajones,Despacho  ,admin/img_prod/F25/F25-1-720x540.png
14,MUS25,Instrumentos musicales,Violonchelo auténtico,Musica  ,admin/img_prod/MUS25/MUS25 (INM12)-720x540.png
15,ADO25,Adornos,Figura bronce grande caballo y jinete,Salón  ,admin/img_prod/ADO25/ADO25-720x540.png
16,DPT25,Deporte,Remo de gimnasio negro plegable,Gimnasio  ,admin/img_prod/DPT25/DPT25-720x540.png
17,LAM25,Lámpara,Lámpara de mesa loza blanca bola,Lámpara de mesa  Salón  ,admin/img_prod/LAM25/LAM25-720X540.png
18,FUM25,Artículos de fumador,Ceniceros acero diferentes lisos,Cenicero  ,admin/img_prod/FUM25/FUM25-720X540.png
19,M25,Mesa,Mesa centro cuarterones patas hierro,Centro  Salón  ,admin/img_prod/M25/M25-1-720X540.png
20,BAD25,Bandejas,Bandejas ovaladas de acero diferentes,,admin/img_prod/BAD25/BAD25-720x540.png
21,BYC25,Atrezzo de bar y cafetería,Copas de Whisky cristal caramelo,Bar y cafetería  ,admin/img_prod/BYC25/BYC25(BAR25-720x540).png
22,COL25,Atrezzo colegio,Cuadernos colegio antiguos caligrafía,Colegio  ,admin/img_prod/COL25/COL25-720x540.png
23,DES25,Atrezzo despacho,Máquina  de escribir antigua Hammond,Despacho  Máquinas de escribir  ,admin/img_prod/DES25/DES25-720x540.png
24,BEB25,Bebé,,Descatalogado  ,admin/img_prod/BEB25/LOGOTIPO VAZQUEZ- 720x540.png
25,CST25,Moda y costura,Costurero isabelino negro y oro con bolsa,Costurero  Isabelino  ,admin/img_prod/CST25/CST25-720x540.png
26,CAR25,Caja registradora,Calculadora eléctrica con rodillo,Calculadoras  Despacho  ,admin/img_prod/CAR25/CAR25 (DES103)-720x540.png
27,CRI25,Cristalería,Jarras cristal liso.,Jarras  ,admin/img_prod/CRI25/CRI25-720x540.png
28,MC25,Macetero,Macetero negro bajo,Comedor  Salón  ,admin/img_prod/MC25/MC25-1-720x540.png
29,ME25,Mesilla,Mesilla cubista tapa nácar,Cubista  Dormitorio  ,admin/img_prod/ME25/ME25-1-720x540.png
30,VET25,Ventilador,Ventilador de techo blanco 5 aspas,,admin/img_prod/VET25/VET25-720x540.png
31,REL25,Reloj,Reloj de pared antiguo esfera nácar marco negro forma,Salón  ,admin/img_prod/REL25/REL25-720x540.png
32,TEL25,Telefonía,Contestadores automáticos,,admin/img_prod/TEL25/TLF25-720x540.png
33,MYN25,Maletas y neceseres de viaje,Maleta fibra jaspeada claro borde marrón,Viaje  ,admin/img_prod/MYN25/MYN25-720x540.png
34,TOC25,Objetos de tocador,Juego de tocador botes rojos (4 piezas),Tocador  ,admin/img_prod/TOC25/TOC25-720x540.png
35,JUG25,Juguetes,Adornos plástico,Juguete  ,admin/img_prod/JUG25/JUG25-720x540.png
36,JAR25,Jarrones y jarras,Jarrón grande Talavera,Adorno  Decoración  Salón  ,admin/img_prod/JAR25/JAR25-720x540.png
37,MYS25,Tocadiscos y altavoces,Tocadiscos caja madera Dual tapa plástico,Electrónica  Musica  Sonido  ,admin/img_prod/MYS25/MYS25-720x540.png
38,TP25,Tapices y estandartes,Tapiz bordado terciopelo leones con bastidor,Salón  ,admin/img_prod/TP25/TP25-720x540.png
39,ML25,Librería,MUEBLE LIBRERÍA OSCURO CON PARTE ALTA,Comedor  Salón  ,admin/img_prod/ML25/ML25-720x540.png
40,MED25,Atrezzo medicina,Escalerilla de madera torneada antigua sencilla para tubos de ensayo,Hospital  Medicina  ,admin/img_prod/MED25/MED25-720x540.png
41,HOS25,Hospitales,Mesilla de hospital de hierro crema,Hospital  Medicina  ,admin/img_prod/HOS25/HOS25-1-720x540.png
42,VAA25,Atrezzo vario,Descatalogado,Despacho  ,admin/img_prod/VAA25/LOGOTIPO VAZQUEZ- 720x540.png
43,RAD25,Radios,Radio antigua baquelita marron 2 mandos Iberia,,admin/img_prod/RAD25/RAD25-720x540.png
44,SI25,Sillón,Sillón curvado nogal respaldo peineta asiento rejilla,Curvado  Sillería  ,admin/img_prod/SI25/SI25-1-720x540.png
45,MV25,Muebles varios,Taquillón japonés puertas estrellas,Japonés  Taquillón  ,admin/img_prod/MV25/MV-25-720x540.png
46,ESTAT25,Estatua,Estatua imagen Inmaculada de escayola,Religioso  ,admin/img_prod/ESTAT25/ESTAT25-720x540.png
47,JUE25,Juego,Tablero de ajedrez antiguo,,admin/img_prod/JUE25/JUE25-720x540.png
